r_vec,x_vec,xr_vec,e_vec,par_vec,reg_vec,par_dot_vec,u_vec,enc_u_vec
0.25475000000000003,"[[0.091486]
 [0.3869613125]]","[[0.0937579375]
 [0.38353906249999997]]","[[-0.0022719375]
 [0.00342225]]","[[1.7314848158093752]
 [0.05105625873992594]]","[[0.98525]
 [0.3869613125]]","[[1.8904420333750003]
 [0.296979578103879]]",[[1.7256954019375002]],1453.13483666314
0.2615,"[[0.095402875]
 [0.3963845]]","[[0.0975945]
 [0.39226724999999996]]","[[-0.002191625]
 [0.004117249999999999]]","[[1.75040442033375]
 [0.05396979578103879]]","[[0.978]
 [0.3963845]]","[[1.6300451917500003]
 [0.2642508417564063]]",[[1.733393763]],1453.12282938185
0.26825,"[[0.0994134375]
 [0.40569731249999996]]","[[0.10143137499999999]
 [0.4010555]]","[[-0.0020179374999999998]
 [0.0046418125]]","[[1.7668004519174998]
 [0.05664250841756406]]","[[0.97275]
 [0.40569731249999996]]","[[1.4291353606875004]
 [0.23840194023093755]]",[[1.7416293849843751]],1453.43420882259
0.27525,"[[0.103516625]
 [0.41490725]]","[[0.10551793749999999]
 [0.4097836875]]","[[-0.0020013125]
 [0.0051235625]]","[[1.7810413536068752]
 [0.059134019402309376]]","[[0.97375]
 [0.41490725]]","[[1.2642645392187501]
 [0.21546322793932818]]",[[1.7588320045625]],1453.36619048641
0.28200000000000003,"[[0.10771181249999999]
 [0.42410512499999997]]","[[0.1096048125]
 [0.4185719375]]","[[-0.001893]
 [0.0055331875]]","[[1.7936426453921877]
 [0.06140463227939329]]","[[0.9642499999999999]
 [0.42410512499999997]]","[[1.1026567575625001]
 [0.19397746713820316]]",[[1.7557059026875002]],1453.12174254532
0.289,"[[0.11199793749999999]
 [0.43308993749999997]]","[[0.113691375]
 [0.427300125]]","[[-0.0016934374999999998]
 [0.0057898125]]","[[1.8047765675756249]
 [0.06343977467138202]]","[[0.961]
 [0.43308993749999997]]","[[0.9968997166250002]
 [0.1796921279026758]]",[[1.7618659610312501]],1453.3431098493
0.29625,"[[0.11637331249999999]
 [0.4419578125]]","[[0.1180279375]
 [0.43602831249999996]]","[[-0.0016546249999999998]
 [0.0059295]]","[[1.81471899716625]
 [0.06529692127902675]]","[[0.964]
 [0.4419578125]]","[[0.9488037450000002]
 [0.17398033904257815]]",[[1.7782567472656252]],1452.50457144993
0.30325,"[[0.12083731249999999]
 [0.450812375]]","[[0.12236481249999999]
 [0.44481656249999996]]","[[-0.0015275]
 [0.005995812499999999]]","[[1.8242380374500002]
 [0.06698980339042579]]","[[0.9564999999999999]
 [0.450812375]]","[[0.9066919961562502]
 [0.17091815810438285]]",[[1.775099554125]],1452.69735572568
0.3105,"[[0.1253888125]
 [0.459460375]]","[[0.126701375]
 [0.45354475]]","[[-0.0013125625]
 [0.005915625]]","[[1.8333169199615624]
 [0.06870918158104383]]","[[0.949]
 [0.459460375]]","[[0.9094275896875001]
 [0.17610314989721096]]",[[1.7713421507812501]],1453.43148497375
0.31775000000000003,"[[0.13002575]
 [0.4678999375]]","[[0.1312879375]
 [0.4622729375]]","[[-0.0012621874999999999]
 [0.005627]]","[[1.842344275896875]
 [0.07051103149897212]]","[[0.94975]
 [0.4678999375]]","[[1.0012418240781251]
 [0.19728898511576176]]",[[1.78266388309375]],1453.2839198638
0.325,"[[0.1347468125]
 [0.4762844375]]","[[0.13587449999999998]
 [0.47100112499999996]]","[[-0.0011276875]
 [0.0052833125]]","[[1.8522624182407812]
 [0.07247288985115763]]","[[0.9462499999999999]
 [0.4762844375]]","[[1.098527706015625]
 [0.22115389705880864]]",[[1.7872221842187501]],1453.51064423766
0.3325,"[[0.139551125]
 [0.4845480625]]","[[0.14046106249999998]
 [0.4797293125]]","[[-0.0009099374999999999]
 [0.00481875]]","[[1.8632352770601561]
 [0.07471153897058806]]","[[0.949]
 [0.4845480625]]","[[1.2392080553125002]
 [0.253070428336086]]",[[1.8044442176718751]],1453.42452003935
